학원명,X,Y
중앙정보처리학원,126.9452032,37.556446
다윈브이스토리미술학원,126.9247241,37.5528464
엠앤엠이화음악학원,126.9023838,37.5574613
희문음악학원,126.9172668,37.5574816
웅지독서실,126.9461846,37.5550672
예스탑학원,126.9030384,37.5568187
벨라뮤직아카데미음악학원,126.9031923,37.5571265
신예일음악학원,126.9290846,37.5470833
뉴마포전산세무회계학원,126.94616,37.5560131
영찬보습학원,126.9123999,37.5590497
디자인피노미술학원,126.9272203,37.5531935
중앙독서실,126.9057995,37.5692335
가나다한국어학원,126.9215303,37.5577189
진진미술학원,126.9387364,37.5439718
고려간호조무사학원,126.9352723,37.5544107
선진에스컴학원,126.9353156,37.5450042
새우리피아노학원,126.9001884,37.5589817
나선영발레스튜디오학원,126.9251655,37.5583647
가나안음악학원,126.9446221,37.5422766
한맥보습학원,126.9621448,37.5516495
정구원학원,126.9085072,37.5675286
디자인창조의아침미술학원,126.9287434,37.5582711
예을음악학원,126.9045008,37.5697981
마포뮤즈음악학원,126.9579044,37.5489541
리치몬드제과기술학원,126.9156139,37.561422
제1예일보습학원,126.9567269,37.5514305
씨앤씨미술학원,126.9263385,37.5594386
지상가치미술학원,126.9300355,37.554976
유엔간호학원,126.937183,37.554554
재현학원,126.9013794,37.5572628
삼성영피아노음악학원,126.9548671,37.5435931
힐링뮤직에듀학원,126.942888,37.545676
양떼구름미술학원,126.9535698,37.5441132
네오캣미술학원,126.927017,37.5531646
계원음악학원,126.9357459,37.545783
클래스미술학원,126.9224012,37.556979
유엠학원,126.9555411,37.5569254
신현대음악학원,126.906871,37.5710455
경희음악학원,126.9038503,37.5701525
시사이포학원,126.9534637,37.539562
나교수어학학원,126.9399615,37.5557504
쿠나미술학원,126.9259082,37.5531455
대치수학교습소,126.9510212,37.5410631
최강인재수학교습소,126.9111137,37.5673184
주니퍼홍대실용음악학원,126.9225679,37.5524753
미성미술교습소,126.9630219,37.5504228
서현수학학원,126.9017985,37.5610961
이정민피아노교습소,126.9019683,37.571892
토킹클럽영어어학원,126.9319186,37.5451538
상암수학마루학원,126.8931659,37.5761618
대명학원,126.903938,37.5579894
이제이음악학원,126.9023412,37.5572807
앤트스터디명품대입관학원,126.9095074,37.5672495
시사이포보습학원,126.9534637,37.539562
대한논리속독학회마포학원,126.9511596,37.5408751
시매쓰대흥센터학원,126.9425679,37.5459074
수도음악교습소,126.9104009,37.5533098
이화삼성음악교습소,126.9557362,37.5461868
참음악학원,126.9117138,37.5680898
아이엠실용음악학원,126.9299692,37.5548673
삼성영어공덕학원,126.955471,37.5457339
월스트리트잉글리쉬신촌어학원,126.9359997,37.5549939
서정은피아노교습소,126.9508481,37.5388811
마포서정학원,126.9103701,37.5554269
에스에스잉글리쉬학원,126.9108441,37.5679556
성산더함미술교습소,126.9038503,37.5701525
미대편입창조학원,126.9243422,37.5534376
더프리미엄신촌독서실,126.9323763,37.5519427
비엠에스음악학원,126.8829615,37.5802374
입시전문영어와수학학원,126.9328325,37.5524875
세이브학원,126.9517192,37.5493949
글나래국어교습소,126.9443416,37.5421029
에스(S)논술학원,126.9395568,37.5491692
발자국소리가큰아이들학원,126.9315727,37.5448082
백전백승MS학원,126.8829615,37.5802374
